DOMAIN,LAST_UPDATE_TIMESTAMP,IPS
a9379992.g-service.ru,1564114273,84.22.158.244
aewe7.zkxww.com,1564115433,61.163.124.116
a104-107-242-220.deploy.static.akamaitechnologies.com,1564113892,104.107.242.220
aca04b73.ipt.aol.com,1548431165,172.160.75.115
autodiscover.brunoscopel.com,1564117461,192.185.217.9
adsl-63-205-55-96.dsl.lsan03.pacbell.net,1564115113,63.205.55.96
a104-107-8-219.deploy.static.akamaitechnologies.com,1564113828,104.107.8.219
adijon-158-1-14-91.w90-39.abo.wanadoo.fr,1554481414,90.39.215.91
arennes-650-1-26-217.w90-32.abo.wanadoo.fr,1564116710,90.32.209.217
a94-132-203-98.cpe.netcabo.pt,1564114243,94.132.203.98
aca08f31.ipt.aol.com,1548431331,172.160.143.49
adsl-62-167-174-15.adslplus.ch,1564115266,62.167.174.15
ahge.hg66444.com,1554482351,107.178.164.107
af.e9.7096.ip4.static.sl-reverse.com,1564115438,150.112.233.175
atrium-cham.ch,1564117787,5.148.183.91
autodiscover.bungomacountryside.com,1554483460,192.185.167.51
ai126229183196.34.access-internet.ne.jp,1564116195,126.229.183.196
alextandang.com,1564116251,50.63.202.39
a104-71-75-247.deploy.static.akamaitechnologies.com,1564113910,104.71.75.247
autodiscover.virginiaryan.com,1564117252,95.216.27.202
ackvacations.org,1564114676,208.91.197.27
adsl-68-251-116-234.dsl.sbndin.ameritech.net,1564115191,68.251.116.234
aclawyers.com,1564114737,206.188.193.27
asianhouse.com.tr,1564117697,78.142.208.12
adsl-63-192-216-191.dsl.snfc21.pacbell.net,1561091367,63.192.216.191
a211-217.amc.nl,1564113990,145.117.211.217
arennes-652-1-92-138.w2-11.abo.wanadoo.fr,1564116696,2.11.195.138
alf94-20-78-236-213-160.fbx.proxad.net,1564116250,78.236.213.160
adsl-98-95-91-23.jan.bellsouth.net,1564115477,98.95.91.23
afaria.newalta.com,1564115540,69.46.103.55
amarseille-652-1-266-105.w92-158.abo.wanadoo.fr,1550247323,92.158.93.105
